GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CinemaSeatBooking,com.cinema_seat_booking.service,ScreeningService,0,128,0,0,0,25,0,16,0,16
CinemaSeatBooking,com.cinema_seat_booking.service,MovieServiceImpl,0,23,0,0,0,6,0,5,0,5
CinemaSeatBooking,com.cinema_seat_booking.service,RoomService,0,102,0,2,0,21,0,10,0,9
CinemaSeatBooking,com.cinema_seat_booking.service,SeatService,91,68,2,4,16,17,9,8,8,6
CinemaSeatBooking,com.cinema_seat_booking.service,UserService,6,96,2,10,1,23,3,9,1,5
CinemaSeatBooking,com.cinema_seat_booking.service,ReservationService,52,192,3,3,8,49,8,9,6,8
CinemaSeatBooking,com.cinema_seat_booking.service,PaymentService,0,46,0,4,0,13,0,5,0,3
CinemaSeatBooking,com.cinema_seat_booking.controller,LoginController,39,3,8,0,9,1,5,1,1,1
CinemaSeatBooking,com.cinema_seat_booking.controller,AdminMovieController,61,3,0,0,15,1,7,1,7,1
CinemaSeatBooking,com.cinema_seat_booking.controller,AdminController,2,3,0,0,1,1,1,1,1,1
CinemaSeatBooking,com.cinema_seat_booking.controller,ReservationController,84,3,0,0,19,1,7,1,7,1
CinemaSeatBooking,com.cinema_seat_booking.controller,AuthController,68,3,8,0,15,1,6,1,2,1
CinemaSeatBooking,com.cinema_seat_booking.controller,UserController,0,68,0,6,0,15,0,8,0,5
CinemaSeatBooking,com.cinema_seat_booking.controller,ClientController,2,3,0,0,1,1,1,1,1,1
CinemaSeatBooking,com.cinema_seat_booking.controller,AdminRoomController,82,3,0,0,18,1,7,1,7,1
CinemaSeatBooking,com.cinema_seat_booking.controller,ScreeningController,98,37,2,2,30,10,7,4,6,3
CinemaSeatBooking,com.cinema_seat_booking.controller,GlobalExceptionHandler,24,3,0,0,6,1,2,1,2,1
CinemaSeatBooking,com.cinema_seat_booking.controller,SeatController,5,125,0,2,2,36,0,12,0,11
CinemaSeatBooking,com.cinema_seat_booking.controller,FrontendController,373,3,44,0,100,1,53,1,31,1
CinemaSeatBooking,com.cinema_seat_booking.controller,PaymentController,15,3,0,0,3,1,1,1,1,1
CinemaSeatBooking,com.cinema_seat_booking.controller,RoomController,111,3,6,0,25,1,9,1,6,1
CinemaSeatBooking,com.cinema_seat_booking.controller,CinemaSeatBookingApplication,5,3,0,0,2,1,1,1,1,1
CinemaSeatBooking,com.cinema_seat_booking.controller,DataInitializer,259,25,11,1,58,6,6,4,0,4
CinemaSeatBooking,com.cinema_seat_booking.dto,UserDTO,0,24,0,0,0,11,0,7,0,7
CinemaSeatBooking,com.cinema_seat_booking.dto,RoomDTO,0,92,0,4,0,27,0,10,0,8
CinemaSeatBooking,com.cinema_seat_booking.dto,CreateRoomDTO,0,32,0,0,0,13,0,7,0,7
CinemaSeatBooking,com.cinema_seat_booking.dto,ScreeningDTO,0,82,0,0,0,29,0,12,0,12
CinemaSeatBooking,com.cinema_seat_booking.dto,SeatDTO,1,80,1,1,0,27,1,12,0,12
CinemaSeatBooking,com.cinema_seat_booking.dto,ReservationDTO,0,68,1,1,0,23,1,11,0,11
CinemaSeatBooking,com.cinema_seat_booking.security,SecurityConfig,0,16,0,0,0,5,0,2,0,2
CinemaSeatBooking,com.cinema_seat_booking.model,Payment,0,72,0,0,0,31,0,15,0,15
CinemaSeatBooking,com.cinema_seat_booking.model,Room,11,196,8,20,2,58,8,22,0,16
CinemaSeatBooking,com.cinema_seat_booking.model,Screening,8,103,2,2,1,39,2,16,0,16
CinemaSeatBooking,com.cinema_seat_booking.model,ReservationState,0,21,0,0,0,2,0,1,0,1
CinemaSeatBooking,com.cinema_seat_booking.model,Seat,0,56,0,0,0,24,0,13,0,13
CinemaSeatBooking,com.cinema_seat_booking.model,Reservation,0,104,0,4,0,42,0,17,0,15
CinemaSeatBooking,com.cinema_seat_booking.model,User,0,108,2,2,0,40,2,18,0,18
CinemaSeatBooking,com.cinema_seat_booking.model,Movie,3,108,1,3,0,40,1,17,0,16
CinemaSeatBooking,com.cinema_seat_booking.model,Role,0,21,0,0,0,4,0,1,0,1
CinemaSeatBooking,com.cinema_seat_booking.model,PaymentStatus,0,21,0,0,0,2,0,1,0,1
